Training Parameters: hidden_dims=[1000], latent_dim=50, num_epochs=50, batch_size=2000, learning_rate=0.0003, regularization_weight=0.001
Epoch 1, Loss: 0.1691314707327093, Duration: 6.12 seconds
Epoch 2, Loss: 0.02056790666224865, Duration: 0.72 seconds
Epoch 3, Loss: 0.013480347449867388, Duration: 0.71 seconds
Epoch 4, Loss: 0.010403883106146868, Duration: 0.76 seconds
Epoch 5, Loss: 0.008566768183253514, Duration: 0.72 seconds
Epoch 6, Loss: 0.008749395726312302, Duration: 0.83 seconds
Epoch 7, Loss: 0.00984365646687583, Duration: 0.72 seconds
Epoch 8, Loss: 0.007284502801286359, Duration: 0.74 seconds
Epoch 9, Loss: 0.005983720921600859, Duration: 0.72 seconds
Epoch 10, Loss: 0.0063005159489619425, Duration: 0.70 seconds
Epoch 11, Loss: 0.008123415494417278, Duration: 0.73 seconds
Epoch 12, Loss: 0.005752189765469386, Duration: 0.76 seconds
Epoch 13, Loss: 0.006413219345367363, Duration: 0.79 seconds
Epoch 14, Loss: 0.005465349132736397, Duration: 0.84 seconds
Epoch 15, Loss: 0.0054008730878241555, Duration: 0.82 seconds
Epoch 16, Loss: 0.007633383545037518, Duration: 0.73 seconds
Epoch 17, Loss: 0.006966340120754436, Duration: 0.70 seconds
Epoch 18, Loss: 0.005478640349629598, Duration: 0.70 seconds
Epoch 19, Loss: 0.004075104424443383, Duration: 0.71 seconds
Epoch 20, Loss: 0.007635366967600635, Duration: 0.73 seconds
Epoch 21, Loss: 0.0071250928832520535, Duration: 0.77 seconds
Epoch 22, Loss: 0.005592755315642263, Duration: 0.72 seconds
Epoch 23, Loss: 0.007970010196097577, Duration: 0.75 seconds
Epoch 24, Loss: 0.005527584914030491, Duration: 0.75 seconds
Epoch 25, Loss: 0.0046052433098626566, Duration: 0.72 seconds
Epoch 26, Loss: 0.0060641473302474385, Duration: 0.74 seconds
Epoch 27, Loss: 0.005345520380343127, Duration: 0.82 seconds
Epoch 28, Loss: 0.006374169249509453, Duration: 0.85 seconds
Epoch 29, Loss: 0.005902338309340879, Duration: 0.75 seconds
Epoch 30, Loss: 0.006622418717473236, Duration: 0.77 seconds
Epoch 31, Loss: 0.008773234627074283, Duration: 0.86 seconds
Epoch 32, Loss: 0.005145525165761893, Duration: 0.82 seconds
Epoch 33, Loss: 0.00603683208887521, Duration: 0.84 seconds
Epoch 34, Loss: 0.006169581519137336, Duration: 0.72 seconds
Epoch 35, Loss: 0.006024473431345044, Duration: 0.76 seconds
Epoch 36, Loss: 0.005335280917481416, Duration: 0.70 seconds
Epoch 37, Loss: 0.005662570976150723, Duration: 0.73 seconds
Epoch 38, Loss: 0.005232741625414381, Duration: 0.74 seconds
Epoch 39, Loss: 0.006087033021359298, Duration: 0.69 seconds
Epoch 40, Loss: 0.008581519299027566, Duration: 0.73 seconds
Epoch 41, Loss: 0.0055149253417984545, Duration: 0.71 seconds
Epoch 42, Loss: 0.005290217031963551, Duration: 0.74 seconds
Epoch 43, Loss: 0.0049564328042662935, Duration: 0.74 seconds
Epoch 44, Loss: 0.0069276484029972525, Duration: 0.71 seconds
Epoch 45, Loss: 0.004485171488744931, Duration: 0.72 seconds
Epoch 46, Loss: 0.0055320642731335554, Duration: 0.71 seconds
Epoch 47, Loss: 0.005001502772235972, Duration: 0.72 seconds
Epoch 48, Loss: 0.004307065743646529, Duration: 0.76 seconds
Epoch 49, Loss: 0.004746425653604838, Duration: 0.74 seconds
Epoch 50, Loss: 0.005418477018769735, Duration: 0.79 seconds
